,smiles,prediction_neglogld50,actual_neglogld50,prediction_epa,actual_epa,prediction_epa_from_neglog
125,C(=N/c1ccc(/N=C/c2ccco2)cc1)\c1ccco1,1.8583304,2.336,2,2,2
126,C(=NC(N=Cc1ccco1)c1ccco1)c1ccco1,1.7907025,2.8265153560000003,2,1,2
127,C(=NC1CCCCC1)=NC1CCCCC1,1.9450417,2.7125087010000004,2,1,2
128,C(=NC1CCCCC1)c1ccccc1,1.4919926,1.7839545980000002,3,2,3
129,C(=NCCCCCCN=Cc1ccco1)c1ccco1,1.8238833,2.74492811,2,1,2
130,C(=N\c1ccccc1)\Nc1ccccc1,1.5472645,2.013377516,3,2,3
131,C(=Nc1ccc(N=Cc2ccco2)cc1)c1ccco1,1.6687577,2.335711041,3,2,3
132,C(CCC1CO1)CC1CO1,1.5309585,2.125,2,2,2
133,C(CCOCC1CO1)COCC1CO1,1.5741146,2.194290005,3,2,3
134,C(COCC1CO1)OCC1CO1,1.2952687,1.795,3,2,3
135,C(OCC1CO1)C1CO1,1.2671397,2.439559673,3,1,3
136,C(Oc1nc(OCC2CO2)nc(OCC2CO2)n1)C1CO1,1.8909315,2.247837419,2,2,2
137,C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)nc1N,2.0613694,2.258,2,2,2
138,C/C(=C(/CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(\C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N,2.9598398,2.14792601,2,3,2
139,C/C(=C/c1ccccc1)CC(=O)N(CCO)CCO,1.7495377,2.244,2,2,2
140,C/C(=C/c1ccccc1)CC(=O)NC1CCCCC1,2.2074072,1.933,2,2,2
141,C/C(=C/c1ccccc1)CC(=O)NCCO,1.9567506,2.2030000000000003,2,2,2
142,C/C(=C/c1ccccc1)CO,1.8491979,1.778,2,2,2
143,C/C(=C1/CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N,2.1772983,1.608020154,2,3,2
144,C/C(=C1\CCOC(=O)S1)N(C=O)Cc1cnc(C)nc1N,2.4206984,1.608,2,3,2
145,C/C(=C\C(=O)O)C(=O)O,1.6253359,1.994,2,2,2
146,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,2.3814123,2.000545999,2,3,2
147,C/C(=C\C(=O)c1ccccc1)c1ccccc1,1.6211286,1.791,3,2,3
148,C/C(=C\CNc1ncnc2nc[nH]c12)CO,3.222347,1.641965636,1,3,1
149,C/C(=C\CO)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,1.3821825,1.773111814,3,3,3
150,C/C(=C\c1ccccc1)CC(=O)N1CCOCC1,2.031672,2.39,2,2,2
151,C/C(=C\c1ccccc1)CN/N=C(\C)C(=O)O,2.7888718,2.533,1,2,1
152,C/C(=N/Nc1nc(C)cc(C)n1)c1ccccc1C,2.5036132,2.6852502410000003,2,2,2
153,C/C(=N/OC(=O)N(C)SSN(C)C(=O)O/N=C(/C)SCCC#N)SCCC#N,3.329548,3.764,1,1,1
154,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)O,2.8590412,2.005599052,1,2,1
155,C/C(=N\NC(=O)c1ccncc1)c1ccco1,1.7817006,3.319,2,1,2
156,C/C(=N\NCCC1CCCCC1)C(=O)O,2.6259825,2.611,2,2,2
157,C/C(=N\O)C(C)(O)C#Cc1ccccc1,2.5557766,1.813,2,2,2
158,C/C(=N\c1c(I)cc(I)c(C(=O)NCC(C)C(=O)O)c1I)N1CCOCC1,2.5786388,1.676,2,3,2
159,C/C(C=O)=C/c1ccccc1,1.7678488,1.853,2,2,2
160,C/C(C=O)=C/c1ccco1,2.2328815,1.988,2,2,2
161,C/C(CC(=O)OC(C)(C)C)=N\Nc1ccc(N2CCOCC2)nn1,2.7334146,2.539,2,2,2
162,C/C(Cl)=C/C(=O)Nc1ccc(O)cc1,1.6106868,2.127,3,2,3
163,C/C(Cl)=C\Cl,2.0727513,1.744,2,2,2
164,C/C(O)=N/CCCOc1ccc(C(=O)N2CCC(N3C(=O)CCc4ccccc43)CC2)cc1,2.2984903,2.108710924,2,2,2
165,C/C(O)=N/c1c(I)cc(I)c(OCCOC(C)C(=O)O)c1I,3.4138985,1.815661926,1,3,1
166,C/C(O)=N/c1ccc(C(C[N+](=O)[O-])Sc2ccc(C)cc2)cc1,2.729937,1.615961882,2,3,2
167,C/C(O)=N/c1ccc(OC(=O)c2cccs2)cc1,1.6849221,1.76393022,3,2,3
168,C/C(O)=N\C1(O)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C42Cl,2.9696884,3.594003232,2,1,2
169,C/C=C(/C(=O)NC(N)=O)C(C)C,1.6206336,1.277,2,3,2
170,C/C=C(/C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2CC1(C)C,2.3168201,3.133,3,2,3
171,C/C=C(/C)C(=O)O[C@H]1CCN2CC=C(COC(=O)[C@](O)([C@H](C)OC)C(C)(C)O)C12,2.8155465,3.573,2,1,2
172,C/C=C(/C=O)CC,1.5339746,1.642,2,2,2
173,C/C=C(/CC)C(=O)NC(N)=O,1.5415779,1.796,2,2,2
174,C/C=C(C)/C=C/C=C(C)C,1.8036165,1.855544659,2,2,2
175,C/C=C(C)\C=C\C=C(C)C,1.8036165,1.856,2,2,2
176,C/C=C(\C)C(=O)O,1.4624889,1.301537823,2,3,2
177,C/C=C(\C)C(=O)OC(C)C,1.5992353,1.4539234840000002,2,2,2
178,C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C,1.777699,1.67459479,2,2,2
179,C/C=C(\C)C(=O)OCC,1.6440269,1.408819768,2,3,2
180,C/C=C(\C)C(=O)OCC/C=C\CC,1.3488177,1.56172851,3,3,3
181,C/C=C(\CC)C(=O)NC(N)=O,1.7441349,1.796,2,2,2
182,C/C=C/C#N,2.1182992,2.604,2,1,2
183,C/C=C/C(=O)C1=C(C)CCCC1(C)C,2.1612964,1.81860095,2,2,2
184,C/C=C/C(=O)N(CC)c1ccccc1C,1.8920635,2.132,2,2,2
185,C/C=C/C(=O)O,2.6449478,1.935,1,2,1
186,C/C=C/C(=O)OC,1.4022777,1.495357849,2,2,2
187,C/C=C/C(=O)OC(/C=C/C)OC(=O)/C=C/C,1.4832013,1.937,3,2,3
188,C/C=C/C(=O)OCC,1.5635074,1.580331833,2,2,2
189,C/C=C/C(C)=O,1.5362673,1.42,2,2,2
190,C/C=C/C(C)C1(CC)C(=O)NC(=O)NC1=O,1.9794455,4.05,2,0,2
191,C/C=C/C(C)OC,1.3467276,1.918,2,2,2
192,C/C=C/C(N)=O,2.6430283,1.4780000000000002,1,2,1
193,C/C=C/C1C(C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C,2.5255134,2.255690915,2,2,2
194,C/C=C/C=C/C#N,1.8520057,2.117,2,2,2
195,C/C=C/C=C/C(=O)NO,2.9943187,1.713,1,2,1
196,C/C=C/C=C/C(=O)O,1.557133,1.1828362609999998,2,3,2
197,C/C=C/C=C/C(C)=O,1.4082614,1.959,2,2,2
198,C/C=C/C=C/C=C/C(C)=O,2.8016138,1.501,1,2,1
199,C/C=C/C=C/C=O,1.6758622,2.50573317,2,1,2
200,C/C=C/C=C/CCCCCCCO,1.5885322,1.755653366,2,2,2
201,C/C=C/C=C/CO,1.5087322,1.722,2,2,2
202,C/C=C/C=C/COC(=O)C(C)C,1.3554455,1.527,3,2,3
203,C/C=C/C=C/COC(C)=O,1.5715972,1.535,2,2,2
204,C/C=C/C=C/COCCC#N,1.7227211,1.621,2,2,2
205,C/C=C/C=C/COCCO,1.524146,1.661,2,2,2
206,C/C=C/C=O,1.4242626,2.943,2,1,2
207,C/C=C/CC(C(=O)O)c1ccc(-c2ccccc2)cc1,1.712931,2.425,3,2,3
208,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,3.3914237,2.909872123,1,2,1
209,C/C=C/CCCCCCCC(=O)OC,1.6181573,1.82,2,2,2
210,C/C=C/CO,1.3850152,1.959,2,2,2
211,C/C=C/CO/C=C/C,1.3125479,1.251,3,3,3
212,C/C=C/COCN(C(=O)CCl)c1c(CC)cccc1CC,2.0305634,2.279,2,2,2
213,C/C=C/C[C@@H](C)[C@@H](O)C1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,3.6981134,2.91,1,2,1
214,C/C=C/Cl,1.597295,1.594,2,2,2
215,C/C=C/OCC,1.5723728,1.376,2,2,2
216,C/C=C/c1ccc(OC(=O)NC)c(OC)c1,2.0864193,2.6460000000000004,2,1,2
217,C/C=C/c1ccc(OC(C)=O)c(OC)c1,1.706327,1.777,2,2,2
218,C/C=C/c1ccc(OC)c(OC)c1,2.3995795,1.853,2,2,2
219,C/C=C/c1ccc(OC)cc1,1.6833831,1.851,2,2,2
220,C/C=C/c1ccc(OCC)c(O)c1,1.6178483,1.871,2,2,2
221,C/C=C/c1ccc(OCc2ccccc2)c(OC)c1,2.0170424,1.715,2,2,2
222,C/C=C/c1ccc(OP(=S)(OC)OC)c(OC)c1,2.8788927,3.062,1,1,1
223,C/C=C/c1ccc2c(c1)OCO2,1.8369184,2.083,2,2,2
224,C/C=C/c1ccccc1,1.7009102,1.516,2,2,2
225,C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)C23,2.0708177,4.013999999999999,2,0,2
226,C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,1.8549324,4.014321604,2,0,2
227,C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC1=O)C23,2.1992438,3.884,2,0,2
228,C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC1=O)[C@@H]23,2.61032,3.88389555,2,0,2
229,C/C=C1\C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2,1.6728655,4.208301586,3,0,3
230,C/C=C1\CC2C=CC1C2,1.3827121,1.6769999999999998,2,2,2
231,C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O,3.0279996,2.544007805,1,2,1
232,C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,2.0571537,2.487455524,2,2,2
233,C/C=C\COCN(C(=O)CCl)c1c(CC)cccc1CC,1.8830569,2.278945675,2,2,2
234,C/C=C\c1ccc(OC)cc1,2.1220791,2.994771597,2,1,2
235,C/C=N/N(C)C=O,3.1558785,2.495,1,1,1
236,C/N=C(\C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,2.7762856,1.622436468,2,3,2
237,C/N=C(\C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,2.649716,2.302167444,2,2,2
238,C/N=C(\O)CSP(=O)(OC)SC,3.382246,3.360333971,1,1,1
239,C/N=C(\O)CSP(C)(=S)OC,3.2941935,4.328917551,1,0,1
240,C/N=C(\O)OC1C2(C)CCC(C2)C1(C)C,2.4783282,2.625939769,2,2,2
241,C/N=C(\O)Oc1cc(C(C)C)ccc1Cl,2.8382342,4.03512657,1,0,1
242,C/N=C(\O)Oc1ccc(C)c(N(C)C)c1,2.401121,3.655850118,2,0,2
243,C/N=C(\O)Oc1cccc(C(C)C)c1Cl,2.7662678,3.81327782,1,0,1
244,C/N=C(\O)Oc1cccc(C)c1,2.1326313,2.573550422,2,1,2
245,C/N=C(\O)Oc1cccc2c1OC(C)(C(C)(C)C)O2,2.6439614,2.849720715,2,1,2
246,C/N=C(\O)Oc1cccc2c1OC(C)C2,2.0093865,3.682982076,2,0,2
247,C/N=C(\O)Oc1cccc2c1OC(C)O2,2.610149,3.347435903,2,1,2
248,C/N=C(\O)Oc1ccccc1C1OCC(C)(C)O1,2.2700982,3.358768695,2,1,2
249,C/N=C(\O)Oc1ccccc1C1OCC(C)O1,2.1597502,3.333822689,2,1,2
250,C/N=C(\O)Oc1ccccc1C1OCCS1,2.1439257,3.630747412,2,1,2
251,C/N=C(\O)Sc1ccc(OS(C)(=O)=O)cc1,2.8944926,3.367961275,1,1,1
252,C/N=C(\O)c1cc(C(O)CNC(C)(C)CCN2C(=O)OC(C)(C)c3ccccc32)ccc1O,2.7258582,2.482449559,2,2,2
253,C/N=C(\[O-])Oc1cc([N+](C)(C)C)ccc1C,3.0514915,4.94897601,1,0,1
254,C/N=C/Nc1ccc(Cl)cc1C,2.2333126,2.840025261,2,1,2
255,C/N=N/Nc1ccc(Br)cc1,2.2733867,2.6615098930000003,2,1,2
256,C/N=N/Nc1ccc(C)cc1,2.295675,2.592949118,2,1,2
257,C/N=N/Nc1ccc(Cl)cc1,2.507076,2.712796698,2,1,2
258,C/N=N/Nc1ccc(I)cc1,2.2503912,2.7187368110000003,2,1,2
259,C/N=N/Nc1ccc([N+](=O)[O-])cc1,2.7340183,2.58561503,1,1,1
260,C/N=N/Nc1ccccc1,2.2168078,2.507631023,2,1,2
261,C/N=c1/oc2ccccc2n1C,2.3036683,2.21,2,2,2
262,C/N=c1\[nH]sc2ccccc12,2.045123,2.455037943,2,2,2
263,C/[N+]([O-])=N/COC1OC(CO)C(O)C(O)C1O,1.8496338,2.97,2,1,2
264,C1=C/CC/C=C/CC/C=C/CC/1,1.5468264,1.96,2,2,2
265,C1=C2CCCNC2C2CC1C1CCCCN1C2,2.5569406,2.685,2,1,2
266,C1=CC(OC2C=CCC2)CC1,1.3145555,2.282,3,2,3
267,C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,1.7213702,1.377215457,2,3,2
268,C1=CC2C3C=CC(C3)C2C1,1.5136644,2.442732786,2,1,2
269,C1=CC2C3CCC(C3)C2C1,1.4156858,2.301748903,3,2,3
270,C1=CC2CCC1C2,1.5271364,0.973809185,2,3,2
271,C1=CC=CCC=C1,1.335865,3.2085780660000003,2,1,2
272,C1=CCC(C2CC3C=CC2C3)CC1,1.3808345,1.659,3,2,3
273,C1=CCC(C2OCC3(CC=CCC3)CO2)CC1,1.6702665,1.654677214,3,3,3
274,C1=CCC(c2ccccc2)CC1,1.9109294,1.655259208,2,2,2
275,C1=CCC2CC=CC2C1,1.4896673,1.54,2,2,2
276,C1=CCC=C1,1.2908993,2.7671427260000003,2,1,2
277,C1=CCCC1,1.3710905,1.616,2,2,2
278,C1=CCCC=CCCC=CCC1,1.7368556,1.702398422,2,2,2
279,C1=CCCCC1,1.4356478,1.6783641619999998,2,2,2
280,C1=Cc2cccc(OCC3CNCCO3)c2C1,1.4894302,2.663462527,3,2,3
281,C1=Cc2ccccc2CC1,1.4377726,1.664,2,2,2
282,C1=NNCN1c1ccccc1,2.6711462,3.040746951,1,1,1
283,C1=Nc2ccccc2Oc2ccccc21,2.3114595,2.540018138,2,2,2
